序号,本地ID,中文名称,上游类型,运行分类,可装备,占装备槽,基础装备ID,合成组件ID,图标相对路径,声明SHA256,本地SHA256,交接三方一致,重复簇大小,重复IDs,重复Names,字节,宽,高,图像来源URL,来源页面URL,来源总表修订,远程HTTP,远程SHA256,远程=本地,尺寸一致,单页来源状态,页面标题,视觉联系表,视觉格位,视觉复核,图标身份结论,来源层级,冲突/边界,核对结果
1,currency_wars_equipment_001,命运圣杯星徽,阵营星徽,faction_emblem,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_001.png,501478d2b05cfdb8b55ff859d64f074347885803bb1a6d62cf79a2463e536dd0,501478d2b05cfdb8b55ff859d64f074347885803bb1a6d62cf79a2463e536dd0,true,1,001,命运圣杯星徽,27950,128,128,https://patchwiki.biligame.com/images/sr/3/32/mt2jp8xagpnmlqvtk4v20pql8zpbdp1.png,https://wiki.biligame.com/sr/%E5%91%BD%E8%BF%90%E5%9C%A3%E6%9D%AF%E6%98%9F%E5%BE%BD,99085,200,501478d2b05cfdb8b55ff859d64f074347885803bb1a6d62cf79a2463e536dd0,true,true,HTTP 567（限流/反爬）,,equipment-contact-01.png,第1行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,本地哈希唯一；未发现图标与名称错位,BWIKI oldid=99085+PatchWiki；米游社官方V4.4直接支持中文名/效果（不提供单项图标）,单条详情页本轮受限流/反爬影响，未获得独立页面实证,图标/名称/来源无已发现冲突
2,currency_wars_equipment_002,分裂•圣杯,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_002.png,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,true,3,002；003；013,分裂•圣杯；圣杯；诅咒•圣杯,33508,128,128,https://patchwiki.biligame.com/images/sr/9/9e/a898nbnuv6ywty7ktmu4wepm8nkdqep.png,https://wiki.biligame.com/sr/%E5%88%86%E8%A3%82%E2%80%A2%E5%9C%A3%E6%9D%AF,99085,200,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,true,true,HTTP 567（限流/反爬）,,equipment-contact-01.png,第1行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
3,currency_wars_equipment_003,圣杯,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_003.png,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,true,3,002；003；013,分裂•圣杯；圣杯；诅咒•圣杯,33508,128,128,https://patchwiki.biligame.com/images/sr/6/62/a898nbnuv6ywty7ktmu4wepm8nkdqep.png,https://wiki.biligame.com/sr/%E5%9C%A3%E6%9D%AF,99085,200,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,true,true,页面实证通过,圣杯 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,equipment-contact-01.png,第1行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
4,currency_wars_equipment_004,天地乖离开辟之星,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_004.png,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,true,3,004；007；014,天地乖离开辟之星；极•天地乖离开辟之星；诅咒•天地乖离开辟之星,32624,128,128,https://patchwiki.biligame.com/images/sr/0/09/jl72tex7wlvns8yo9xeqj1u1qbo67zw.png,https://wiki.biligame.com/sr/%E5%A4%A9%E5%9C%B0%E4%B9%96%E7%A6%BB%E5%BC%80%E8%BE%9F%E4%B9%8B%E6%98%9F,99085,200,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,true,true,页面实证通过,天地乖离开辟之星 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,equipment-contact-01.png,第1行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
5,currency_wars_equipment_005,宝石剑泽尔里奇,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_005.png,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,true,3,005；008；015,宝石剑泽尔里奇；极•宝石剑泽尔里奇；诅咒•宝石剑泽尔里奇,26921,128,128,https://patchwiki.biligame.com/images/sr/5/5f/7vt0o74f8dyheiguftbnclyuretmfc1.png,https://wiki.biligame.com/sr/%E5%AE%9D%E7%9F%B3%E5%89%91%E6%B3%BD%E5%B0%94%E9%87%8C%E5%A5%87,99085,200,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,true,true,HTTP 567（限流/反爬）,,equipment-contact-01.png,第1行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
6,currency_wars_equipment_006,干将莫邪,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_006.png,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,true,3,006；009；016,干将莫邪；极•干将莫邪；诅咒•干将莫邪,31431,128,128,https://patchwiki.biligame.com/images/sr/6/6a/ggxm1iskstxe4qlaxb4g2mk6q9v8r1g.png,https://wiki.biligame.com/sr/%E5%B9%B2%E5%B0%86%E8%8E%AB%E9%82%AA,99085,200,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,true,true,HTTP 567（限流/反爬）,,equipment-contact-01.png,第2行第1列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
7,currency_wars_equipment_007,极•天地乖离开辟之星,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_007.png,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,true,3,004；007；014,天地乖离开辟之星；极•天地乖离开辟之星；诅咒•天地乖离开辟之星,32624,128,128,https://patchwiki.biligame.com/images/sr/3/35/jl72tex7wlvns8yo9xeqj1u1qbo67zw.png,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E5%A4%A9%E5%9C%B0%E4%B9%96%E7%A6%BB%E5%BC%80%E8%BE%9F%E4%B9%8B%E6%98%9F,99085,200,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,true,true,页面实证通过,极•天地乖离开辟之星 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,equipment-contact-01.png,第2行第2列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
8,currency_wars_equipment_008,极•宝石剑泽尔里奇,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_008.png,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,true,3,005；008；015,宝石剑泽尔里奇；极•宝石剑泽尔里奇；诅咒•宝石剑泽尔里奇,26921,128,128,https://patchwiki.biligame.com/images/sr/6/61/7vt0o74f8dyheiguftbnclyuretmfc1.png,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E5%AE%9D%E7%9F%B3%E5%89%91%E6%B3%BD%E5%B0%94%E9%87%8C%E5%A5%87,99085,200,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,true,true,页面实证通过,极•宝石剑泽尔里奇 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,equipment-contact-01.png,第2行第3列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
9,currency_wars_equipment_009,极•干将莫邪,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_009.png,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,true,3,006；009；016,干将莫邪；极•干将莫邪；诅咒•干将莫邪,31431,128,128,https://patchwiki.biligame.com/images/sr/3/38/ggxm1iskstxe4qlaxb4g2mk6q9v8r1g.png,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E5%B9%B2%E5%B0%86%E8%8E%AB%E9%82%AA,99085,200,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,true,true,HTTP 567（限流/反爬）,,equipment-contact-01.png,第2行第4列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
10,currency_wars_equipment_010,极•阿瓦隆,命运改件,fate_component,是,是,,,assets/currency_wars_equipment_icons/currency_wars_equipment_010.png,f3bed270b62a20ee5b4fd20767f8490872a12d701bdbd3f86783fbdf0128fb20,f3bed270b62a20ee5b4fd20767f8490872a12d701bdbd3f86783fbdf0128fb20,true,3,010；017；020,极•阿瓦隆；诅咒•阿瓦隆；阿瓦隆,30646,128,128,https://patchwiki.biligame.com/images/sr/1/18/iht3g55xaq1r666csbnjpbfc7onrud7.png,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E9%98%BF%E7%93%A6%E9%9A%86,99085,200,f3bed270b62a20ee5b4fd20767f8490872a12d701bdbd3f86783fbdf0128fb20,true,true,HTTP 567（限流/反爬）,,equipment-contact-01.png,第2行第5列,逐项可见；未见空白、破损、异常裁切或相邻错位,同图多ID；识别时必须保留CandidateIds/Unknown，不得强收敛,BWIKI oldid=99085+PatchWiki；米游社官方资料仅提供玩法或少量条目补充,仅凭图标无法区分本簇具体ID,图标一致；具体ID不唯一
