id,name,category,source_page_url,source_url,local_path,declared_sha256,local_sha256,local_bytes,local_width,local_height,http_status,content_type,final_url,remote_sha256,remote_bytes,remote_width,remote_height,remote_format,declared_matches_local,remote_matches_local,dimensions_match,error,attempts
currency_wars_equipment_001,命运圣杯星徽,faction_emblem,https://wiki.biligame.com/sr/%E5%91%BD%E8%BF%90%E5%9C%A3%E6%9D%AF%E6%98%9F%E5%BE%BD,https://patchwiki.biligame.com/images/sr/3/32/mt2jp8xagpnmlqvtk4v20pql8zpbdp1.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_001.png,501478d2b05cfdb8b55ff859d64f074347885803bb1a6d62cf79a2463e536dd0,501478d2b05cfdb8b55ff859d64f074347885803bb1a6d62cf79a2463e536dd0,27950,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/3/32/mt2jp8xagpnmlqvtk4v20pql8zpbdp1.png,501478d2b05cfdb8b55ff859d64f074347885803bb1a6d62cf79a2463e536dd0,27950,128,128,PNG,True,True,True,,1
currency_wars_equipment_002,分裂•圣杯,fate_component,https://wiki.biligame.com/sr/%E5%88%86%E8%A3%82%E2%80%A2%E5%9C%A3%E6%9D%AF,https://patchwiki.biligame.com/images/sr/9/9e/a898nbnuv6ywty7ktmu4wepm8nkdqep.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_002.png,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,33508,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/9/9e/a898nbnuv6ywty7ktmu4wepm8nkdqep.png,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,33508,128,128,PNG,True,True,True,,1
currency_wars_equipment_003,圣杯,fate_component,https://wiki.biligame.com/sr/%E5%9C%A3%E6%9D%AF,https://patchwiki.biligame.com/images/sr/6/62/a898nbnuv6ywty7ktmu4wepm8nkdqep.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_003.png,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,33508,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/6/62/a898nbnuv6ywty7ktmu4wepm8nkdqep.png,9c8bafb41cc081b61811196ad180dce749b04c54725fde5d09a3ab0766741780,33508,128,128,PNG,True,True,True,,1
currency_wars_equipment_004,天地乖离开辟之星,fate_component,https://wiki.biligame.com/sr/%E5%A4%A9%E5%9C%B0%E4%B9%96%E7%A6%BB%E5%BC%80%E8%BE%9F%E4%B9%8B%E6%98%9F,https://patchwiki.biligame.com/images/sr/0/09/jl72tex7wlvns8yo9xeqj1u1qbo67zw.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_004.png,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,32624,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/0/09/jl72tex7wlvns8yo9xeqj1u1qbo67zw.png,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,32624,128,128,PNG,True,True,True,,1
currency_wars_equipment_005,宝石剑泽尔里奇,fate_component,https://wiki.biligame.com/sr/%E5%AE%9D%E7%9F%B3%E5%89%91%E6%B3%BD%E5%B0%94%E9%87%8C%E5%A5%87,https://patchwiki.biligame.com/images/sr/5/5f/7vt0o74f8dyheiguftbnclyuretmfc1.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_005.png,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,26921,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/5/5f/7vt0o74f8dyheiguftbnclyuretmfc1.png,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,26921,128,128,PNG,True,True,True,,1
currency_wars_equipment_006,干将莫邪,fate_component,https://wiki.biligame.com/sr/%E5%B9%B2%E5%B0%86%E8%8E%AB%E9%82%AA,https://patchwiki.biligame.com/images/sr/6/6a/ggxm1iskstxe4qlaxb4g2mk6q9v8r1g.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_006.png,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,31431,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/6/6a/ggxm1iskstxe4qlaxb4g2mk6q9v8r1g.png,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,31431,128,128,PNG,True,True,True,,1
currency_wars_equipment_007,极•天地乖离开辟之星,fate_component,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E5%A4%A9%E5%9C%B0%E4%B9%96%E7%A6%BB%E5%BC%80%E8%BE%9F%E4%B9%8B%E6%98%9F,https://patchwiki.biligame.com/images/sr/3/35/jl72tex7wlvns8yo9xeqj1u1qbo67zw.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_007.png,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,32624,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/3/35/jl72tex7wlvns8yo9xeqj1u1qbo67zw.png,cc6f1dc7a6bca0646026af6139c43c658e6182fbd686040f58dcd24de89d2963,32624,128,128,PNG,True,True,True,,1
currency_wars_equipment_008,极•宝石剑泽尔里奇,fate_component,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E5%AE%9D%E7%9F%B3%E5%89%91%E6%B3%BD%E5%B0%94%E9%87%8C%E5%A5%87,https://patchwiki.biligame.com/images/sr/6/61/7vt0o74f8dyheiguftbnclyuretmfc1.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_008.png,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,26921,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/6/61/7vt0o74f8dyheiguftbnclyuretmfc1.png,01b3a550d1ab3f78d27ba856e15c50a3c05c399f9a281ae4ad7352dced994f0f,26921,128,128,PNG,True,True,True,,1
currency_wars_equipment_009,极•干将莫邪,fate_component,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E5%B9%B2%E5%B0%86%E8%8E%AB%E9%82%AA,https://patchwiki.biligame.com/images/sr/3/38/ggxm1iskstxe4qlaxb4g2mk6q9v8r1g.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_009.png,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,31431,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/3/38/ggxm1iskstxe4qlaxb4g2mk6q9v8r1g.png,8acf2cd30d8767f494c80a77d6b34df19bde721eddcbdddfcf4002161122e1ca,31431,128,128,PNG,True,True,True,,1
currency_wars_equipment_010,极•阿瓦隆,fate_component,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E9%98%BF%E7%93%A6%E9%9A%86,https://patchwiki.biligame.com/images/sr/1/18/iht3g55xaq1r666csbnjpbfc7onrud7.png,data/runtime/1.0.0/4.4/equipment/assets/currency_wars_equipment_icons/currency_wars_equipment_010.png,f3bed270b62a20ee5b4fd20767f8490872a12d701bdbd3f86783fbdf0128fb20,f3bed270b62a20ee5b4fd20767f8490872a12d701bdbd3f86783fbdf0128fb20,30646,128,128,200,image/png,https://patchwiki.biligame.com/images/sr/1/18/iht3g55xaq1r666csbnjpbfc7onrud7.png,f3bed270b62a20ee5b4fd20767f8490872a12d701bdbd3f86783fbdf0128fb20,30646,128,128,PNG,True,True,True,,1
