id,name,category,source_page_url,final_url,http_status,content_type,bytes,title,title_contains_name,body_contains_name,body_references_image_basename,source_revision_id,fetched_at_utc,attempts,error
currency_wars_equipment_001,命运圣杯星徽,faction_emblem,https://wiki.biligame.com/sr/%E5%91%BD%E8%BF%90%E5%9C%A3%E6%9D%AF%E6%98%9F%E5%BE%BD,,,,,,False,False,False,99085,2026-08-09T00:05:53.712159+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_002,分裂•圣杯,fate_component,https://wiki.biligame.com/sr/%E5%88%86%E8%A3%82%E2%80%A2%E5%9C%A3%E6%9D%AF,,,,,,False,False,False,99085,2026-08-09T00:05:53.720051+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_003,圣杯,fate_component,https://wiki.biligame.com/sr/%E5%9C%A3%E6%9D%AF,https://wiki.biligame.com/sr/%E5%9C%A3%E6%9D%AF,200,text/html; charset=UTF-8,154402,圣杯 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,True,True,True,99085,2026-08-09T00:05:50.692159+00:00,1,
currency_wars_equipment_004,天地乖离开辟之星,fate_component,https://wiki.biligame.com/sr/%E5%A4%A9%E5%9C%B0%E4%B9%96%E7%A6%BB%E5%BC%80%E8%BE%9F%E4%B9%8B%E6%98%9F,https://wiki.biligame.com/sr/%E5%A4%A9%E5%9C%B0%E4%B9%96%E7%A6%BB%E5%BC%80%E8%BE%9F%E4%B9%8B%E6%98%9F,200,text/html; charset=UTF-8,153571,天地乖离开辟之星 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,True,True,True,99085,2026-08-09T00:05:51.303240+00:00,1,
currency_wars_equipment_005,宝石剑泽尔里奇,fate_component,https://wiki.biligame.com/sr/%E5%AE%9D%E7%9F%B3%E5%89%91%E6%B3%BD%E5%B0%94%E9%87%8C%E5%A5%87,,,,,,False,False,False,99085,2026-08-09T00:05:53.700221+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_006,干将莫邪,fate_component,https://wiki.biligame.com/sr/%E5%B9%B2%E5%B0%86%E8%8E%AB%E9%82%AA,,,,,,False,False,False,99085,2026-08-09T00:05:53.694210+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_007,极•天地乖离开辟之星,fate_component,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E5%A4%A9%E5%9C%B0%E4%B9%96%E7%A6%BB%E5%BC%80%E8%BE%9F%E4%B9%8B%E6%98%9F,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E5%A4%A9%E5%9C%B0%E4%B9%96%E7%A6%BB%E5%BC%80%E8%BE%9F%E4%B9%8B%E6%98%9F,200,text/html; charset=UTF-8,154102,极•天地乖离开辟之星 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,True,True,True,99085,2026-08-09T00:05:50.712187+00:00,1,
currency_wars_equipment_008,极•宝石剑泽尔里奇,fate_component,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E5%AE%9D%E7%9F%B3%E5%89%91%E6%B3%BD%E5%B0%94%E9%87%8C%E5%A5%87,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E5%AE%9D%E7%9F%B3%E5%89%91%E6%B3%BD%E5%B0%94%E9%87%8C%E5%A5%87,200,text/html; charset=UTF-8,153712,极•宝石剑泽尔里奇 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,True,True,True,99085,2026-08-09T00:05:51.000618+00:00,1,
currency_wars_equipment_009,极•干将莫邪,fate_component,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E5%B9%B2%E5%B0%86%E8%8E%AB%E9%82%AA,,,,,,False,False,False,99085,2026-08-09T00:05:53.758284+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_010,极•阿瓦隆,fate_component,https://wiki.biligame.com/sr/%E6%9E%81%E2%80%A2%E9%98%BF%E7%93%A6%E9%9A%86,,,,,,False,False,False,99085,2026-08-09T00:05:53.778847+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_011,穿刺死棘之枪,fate_component,https://wiki.biligame.com/sr/%E7%A9%BF%E5%88%BA%E6%AD%BB%E6%A3%98%E4%B9%8B%E6%9E%AA,,,,,,False,False,False,99085,2026-08-09T00:05:54.159857+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_012,罪孽王冠,fate_component,https://wiki.biligame.com/sr/%E7%BD%AA%E5%AD%BD%E7%8E%8B%E5%86%A0,,,,,,False,False,False,99085,2026-08-09T00:05:54.380144+00:00,3,HTTPError: HTTP Error 567: Unknown Status
currency_wars_equipment_013,诅咒•圣杯,fate_component,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E5%9C%A3%E6%9D%AF,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E5%9C%A3%E6%9D%AF,200,text/html; charset=UTF-8,155056,诅咒•圣杯 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,True,True,True,99085,2026-08-09T00:05:54.310356+00:00,2,
currency_wars_equipment_014,诅咒•天地乖离开辟之星,fate_component,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E5%A4%A9%E5%9C%B0%E4%B9%96%E7%A6%BB%E5%BC%80%E8%BE%9F%E4%B9%8B%E6%98%9F,https://wiki.biligame.com/sr/%E8%AF%85%E5%92%92%E2%80%A2%E5%A4%A9%E5%9C%B0%E4%B9%96%E7%A6%BB%E5%BC%80%E8%BE%9F%E4%B9%8B%E6%98%9F,200,text/html; charset=UTF-8,154322,诅咒•天地乖离开辟之星 - 崩坏：星穹铁道WIKI_BWIKI_哔哩哔哩,True,True,True,99085,2026-08-09T00:05:54.623172+00:00,2,
